# gpu    sm   mem   enc   dec
# Idx     %     %     %     %
    1     0     0     0     0
    1     0     0     0     0
    1     0     0     0     0
    1     5     0     0     0
    1    81    53     0     0
    1    82    53     0     0
    1    77    51     0     0
    1    75    50     0     0
    1    81    53     0     0
    1    82    53     0     0
    1    82    53     0     0
    1    82    53     0     0
    1    82    53     0     0
    1    82    53     0     0
    1    79    53     0     0
    1    82    53     0     0
    1    82    53     0     0
    1    82    53     0     0
    1    82    52     0     0
    1    83    52     0     0
    1    82    52     0     0
    1    83    53     0     0
    1    83    52     0     0
    1    83    52     0     0
    1    82    53     0     0
    1    83    53     0     0
    1    83    52     0     0
    1    83    52     0     0
    1    82    52     0     0
    1    83    53     0     0
    1    82    53     0     0
    1    83    52     0     0
    1    83    53     0     0
    1    82    53     0     0
    1    81    52     0     0
    1    79    53     0     0
    1    82    52     0     0
    1    83    52     0     0
    1    83    52     0     0
    1    83    52     0     0
    1    82    53     0     0
    1    82    53     0     0
    1    81    52     0     0
    1    82    53     0     0
# gpu    sm   mem   enc   dec
# Idx     %     %     %     %
    1    79    51     0     0
    1    82    54     0     0
    1    82    53     0     0
    1    82    52     0     0
    1    76    51     0     0
    1    77    51     0     0
    1    79    52     0     0
    1    81    52     0     0
    1    82    53     0     0
    1    82    52     0     0
    1    82    53     0     0
    1    82    52     0     0
    1    82    52     0     0
    1    82    53     0     0
    1    82    53     0     0
    1    82    53     0     0
    1    82    53     0     0
    1    82    53     0     0
    1    82    52     0     0
    1    82    53     0     0
    1    57    34     0     0
    1     0     0     0     0
